CountryName,2010,2011,2012,2013,2014,2015,2016
"Iran, Islamic Rep.",6603.212269,7818.057232,7927.647542,6111.440608,5608.602512,4916.085938,5265.906635
Iraq,4657.280426,6045.495551,6836.027313,7076.554608,6818.804621,4989.803075,4776.726499
Iceland,43024.92384,47516.87574,45910.0209,49522.23697,54242.05468,52428.59576,61757.94931
Israel,30693.59308,33669.24647,32511.23785,36309.46883,37678.88977,35776.79517,37321.62404
Italy,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30936.12544
Jamaica,4704.054455,5111.471413,5209.851931,4989.171391,4833.790318,4907.50372,4843.338474
Jordan,3690.113268,3816.279258,3877.339345,3998.027473,4072.765475,4105.448961,4103.7336
Japan,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38794.33094
Kazakhstan,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844
Kenya,951.6879611,971.633329,1136.871406,1210.388014,1315.804535,1336.883349,1410.527571
Kyrgyz Republic,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513
Cambodia,785.5022829,882.2754926,950.880346,1013.420401,1093.496191,1162.90492,1278.631062
Kiribati,1516.811869,1735.018358,1788.505421,1715.765331,1642.762597,1542.57525,1584.807446
St. Kitts and Nevis,15508.61699,16538.09653,16044.557,16685.02661,18051.89007,18029.32554,18811.94512
"Korea, Rep.",22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743
Kuwait,38577.38166,48618.88229,51978.99848,49388.20939,44062.4003,29869.52939,27653.1644
Latin America & Caribbean (excluding high income),8760.276512,9862.159391,9815.8633,9927.579022,10052.81436,8453.828759,8137.899363
Lao PDR,1140.599205,1378.361365,1581.395403,1825.665113,1998.335215,2134.711796,2308.800482
Lebanon,7756.744069,7703.389472,7985.854941,7923.851717,7712.062848,7649.832611,7634.946544
Liberia,513.4456986,596.8970811,657.9362563,721.9300554,721.1827948,710.3838577,714.6233922
Libya,12064.78069,5554.179164,13025.28139,10363.78949,6466.91027,4337.919139,4035.194316
St. Lucia,8037.472967,8227.394082,8151.992413,8358.905169,8744.291224,9262.256115,9452.055364
Latin America & Caribbean,9059.186046,10185.51792,10177.86064,10317.29322,10407.83658,8862.924726,8571.581037
Least developed countries: UN classification,806.1047635,902.2505175,945.9400416,1003.430021,1059.074382,1022.704889,1009.492685
Low income,642.00285,697.7634557,743.5171196,799.4863156,828.9798192,796.0121695,759.0489077
Liechtenstein,141200.38,158156.5998,149010.2249,173058.3174,178845.631,167290.94,165028.245
Sri Lanka,2799.648876,3200.833829,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502
Lower middle income,1662.416216,1849.563677,1911.493446,1966.250939,2040.276724,1996.030891,2049.235025
Low & middle income,3590.266394,4184.500032,4407.997968,4611.709138,4720.240065,4420.077191,4382.440575
Lesotho,1199.951766,1393.386362,1328.813074,1249.183496,1276.413,1112.081441,1115.336075
Late-demographic dividend,6190.863156,7501.875846,7976.832515,8547.300209,8799.706742,8195.348215,8144.666667
Lithuania,11953.93844,14338.64351,14333.94934,15705.16399,16534.48198,14249.11497,14999.47964
Luxembourg,104965.3061,115761.5077,106749.0136,113625.1329,118823.6484,101376.4966,104278.391
Latvia,11344.69337,13713.85531,13847.78511,15043.11756,15740.32675,13698.93795,14153.41492
"Macao SAR, China",52253.15531,66644.38534,76291.84749,89287.45402,93777.1068,75340.98698,74061.08603
St. Martin (French part),,,,,,,
Morocco,2839.925168,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2897.66344
Monaco,150585.4489,168785.9408,157515.8991,177593.3519,189170.8957,165937.8653,169915.8048
Moldova,1958.13372,2363.593725,2446.725316,2668.683009,2674.116332,2179.233625,2272.405707
Madagascar,471.9592116,531.2655054,518.1528127,541.0660851,530.8612639,467.2352774,475.9553656
Maldives,7076.662423,7291.42764,7265.613656,7928.457365,8499.365762,9033.390413,9209.288625
Middle East & North Africa,7174.097701,8332.282431,8895.675056,8668.404594,8540.521641,7387.869347,7274.24572
Mexico,9271.398233,10203.42085,10241.72792,10725.18332,10922.37605,9605.952351,8739.756043
Marshall Islands,2876.994997,3083.83188,3224.338382,3296.698163,3230.02326,3213.837288,3473.775006
Middle income,3918.131657,4576.63756,4825.996498,5052.924712,5176.993227,4851.937949,4819.790091
North Macedonia,4542.899717,5063.786986,4698.141294,5210.67583,5468.480869,4840.273123,5129.15896
Mali,709.5819646,836.5098094,778.6694625,805.2596685,847.1503863,751.1705935,779.874933
Malta,21107.36443,22845.90489,21926.80837,23838.6144,26012.01531,24077.01082,25151.51962
Myanmar,979.05163,1176.242453,1165.794329,1162.33144,1251.820765,1133.002816,1192.495338
Middle East & North Africa (excluding high income),4158.58263,4630.738985,5011.926365,4624.418247,4470.199396,3961.491058,3938.005953
Montenegro,6682.281158,7318.74469,6586.721279,7186.431924,7378.345289,6514.272695,7028.936577
Mongolia,2643.292914,3757.558633,4351.88692,4366.075901,4158.525715,3918.579174,3660.150746
Northern Mariana Islands,14804.24673,13571.05828,13827.7697,14274.24065,15278.90787,16690.5701,22246.74308
Mozambique,471.1816926,594.5864667,657.6453378,664.0782118,673.9699555,589.8590281,428.926488
Mauritania,1241.428756,1435.635415,1411.35283,1477.361539,1371.58435,1193.400596,1123.888166
Mauritius,8000.376432,9197.026972,9291.227619,9637.00265,10153.93822,9260.447303,9681.618567
Malawi,478.6685897,534.9512647,391.5618324,348.4302696,371.2697496,380.5970331,315.7773264
Malaysia,9040.566251,10399.37275,10817.44287,10970.12328,11319.07976,9955.242127,9817.740861
North America,48373.70037,50110.05567,51703.26734,53052.79008,54618.84662,55476.89671,56340.17651
Namibia,5324.61704,5753.987148,5930.548473,5694.082634,5624.135341,5032.889762,4786.235303
New Caledonia,,,,,,,
Niger,347.3430407,374.4828645,390.1199097,414.3886131,427.737226,360.8533841,362.1311323
Nigeria,2292.445156,2520.404166,2746.991789,2998.072843,3222.693537,2730.430324,2175.99967
Nicaragua,1503.870423,1655.816933,1760.461485,1811.632521,1934.056966,2049.84969,2107.56718
Netherlands,50950.03434,54159.34661,50073.00566,52184.06185,52830.17423,45175.23189,46007.85292
Norway,87693.79007,100600.5624,101524.1419,102913.4508,97019.18275,74355.51586,70460.56053
Nepal,592.4010975,699.4293377,698.4664794,715.923743,743.4133813,792.5528906,777.1475955
Nauru,4921.119111,7226.814649,10101.50479,10039.27221,9871.731985,8013.357608,7820.729599
New Zealand,33692.01083,38426.55081,39970.44004,42949.14223,44533.78309,38559.54704,40026.8522
OECD members,35985.89123,38493.14171,38202.97249,38463.3865,39019.65022,36624.21453,37086.00832
Oman,19281.16563,20896.74698,21923.54802,20926.55405,20131.9813,16150.88726,14721.64733
Other small states,12502.9529,15090.0734,15494.38124,15714.97442,15839.31371,12848.1095,12435.13215
Pakistan,987.409723,1164.976129,1198.109001,1208.90431,1251.164104,1356.667756,1368.454326
Panama,8082.028459,9358.251475,10722.28363,11889.12763,12796.07004,13630.30797,14356.32405
Peru,5082.354757,5869.32308,6528.972218,6756.752769,6672.880255,6229.101696,6204.99726
Philippines,2124.05677,2345.327754,2572.629425,2749.386636,2831.316667,2867.15199,2941.21204
Palau,10219.9276,10884.41251,11967.30726,12688.19721,13794.79178,15871.84263,16932.33286
Papua New Guinea,1949.352517,2406.909678,2790.67667,2729.891904,2920.783721,2679.345589,2509.631457
Poland,12599.53358,13893.50926,13145.53926,13781.06261,14347.91458,12572.30788,12431.57542
Pre-demographic dividend,1388.808763,1573.660106,1690.340403,1799.044416,1864.008414,1588.210949,1420.85448
Puerto Rico,26435.74879,27278.88305,27944.73389,28513.16574,28981.45733,29764.05389,30628.75478
"Korea, Dem. People’s Rep.",,,,,,,
Portugal,22498.69086,23186.91313,20564.88986,21647.04181,22074.30076,19242.36647,19978.40121
Paraguay,4355.934939,5322.96376,5183.082877,5926.832863,6102.943233,5406.703857,5319.410218
West Bank and Gaza,2354.125987,2695.193853,2834.021525,3060.312389,3046.821798,2967.851747,3074.291152
Pacific island small states,2905.777759,3404.274311,3571.847015,3659.243434,3924.987357,3781.79768,3900.403352
Post-demographic dividend,39513.78524,42315.38014,42090.31654,42319.51777,42989.91367,40497.75629,41202.81701
French Polynesia,,,,,,,
Qatar,67403.1603,82409.58033,85076.14793,85050.91097,83858.52838,63039.01655,57163.06099
Romania,8209.919456,9104.995622,8535.046876,9555.244217,10026.97358,8977.498544,9567.097782
Russian Federation,10674.9972,14351.21205,15434.57478,16007.08999,14100.7291,9313.787542,8745.375116
Rwanda,582.6941191,645.7483207,704.1777125,704.9803025,723.2819733,728.0818794,726.3479745
South Asia,1257.522311,1367.339074,1364.441602,1381.881309,1494.461188,1541.835816,1648.658764
Saudi Arabia,19262.54768,23745.80161,25243.3587,24844.74437,24463.90316,20627.93278,19879.29753
Sudan,1489.876911,1672.103295,1882.24677,1943.916458,2163.155898,2486.745659,2398.10188
Senegal,1278.977754,1371.723353,1330.057448,1375.678754,1394.794743,1218.764246,1269.040407
Singapore,47236.96023,53890.42873,55546.48854,56967.42579,57562.53079,55646.61875,56724.17039
Solomon Islands,1290.398786,1722.418121,1913.232013,1977.451405,1996.781184,1914.46793,1986.416229
Sierra Leone,401.8350014,448.3375255,566.3786569,716.8353047,714.7007124,588.2284527,501.4157129
El Salvador,2983.242708,3266.045875,3428.384736,3509.53628,3588.965943,3705.540002,3800.103302
San Marino,68496.36068,64890.23886,56068.43455,57302.688,54282.8098,45774.58789,46692.35109
Somalia,,,,297.9554718,295.2665004,293.4552357,295.9678516
Serbia,5735.422857,6809.159804,6015.945228,6755.073675,6600.056809,5585.117938,5756.381194
Sub-Saharan Africa (excluding high income),1577.24878,1738.125697,1786.845832,1852.039633,1888.140867,1670.173033,1521.086783
South Sudan,1535.708185,1516.403915,1179.739828,1779.469336,1322.820238,1119.651332,
Sub-Saharan Africa,1578.201816,1739.14878,1787.828781,1853.271496,1889.348995,1671.400239,1522.343206
Small states,11221.2169,13314.04339,13689.79395,13897.95718,14033.28437,11743.66292,11345.33206
Sao Tome and Principe,1094.710636,1263.865523,1340.526507,1577.022329,1782.797756,1595.861423,1710.133948
Suriname,8255.796859,8263.172923,9201.008785,9402.233137,9472.0076,8561.974179,5604.722569
Slovak Republic,16727.29133,18338.36223,17460.04681,18236.98079,18670.93017,16309.07324,16505.99806
Slovenia,23509.54339,25095.13263,22643.10025,23496.60231,24214.92207,20881.76677,21622.58068
Sweden,52817.44137,60612.87883,57874.2865,60897.36563,59843.51917,51397.19176,51974.19656
Eswatini,4168.505183,4496.60038,4527.668982,4230.344051,4038.55723,3689.518704,3447.695698
Sint Maarten (Dutch part),,,,,,,
Seychelles,10804.68447,12189.09516,12006.68296,14765.67398,14700.33434,14745.34146,15077.83902
Syrian Arab Republic,,,,,,,
Turks and Caicos Islands,21028.40814,21835.08314,21009.88581,21328.97901,23296.33691,24832.59637,25995.17246
Chad,891.6988174,983.4472327,967.408126,979.5339592,1018.930956,775.7075235,692.9785958
East Asia & Pacific (IDA & IBRD countries),4045.420544,4907.691481,5432.957745,5950.167955,6349.497909,6558.764269,6626.285849
Europe & Central Asia (IDA & IBRD countries),8267.317905,10001.84023,10384.6834,10957.18123,10299.72557,7983.410324,7650.136934
Togo,533.508792,586.3288415,571.8394289,621.2222598,640.0816111,570.6807371,597.0654589
Thailand,5076.342992,5492.115427,5860.58061,6168.264895,5951.883702,5840.046948,5978.611454
Tajikistan,749.552711,847.3821018,969.2964731,1048.227293,1104.171689,929.0958572,802.5180041
Turkmenistan,4439.200382,5649.952278,6675.185658,7304.287132,7962.239098,6432.680702,6389.548408
Latin America & the Caribbean (IDA & IBRD countries),8973.967781,10120.10984,10102.47286,10238.40824,10324.93645,8720.698418,8411.835474
Timor-Leste,3656.952163,5095.489022,5879.699804,4888.317126,3441.650608,2585.153916,2053.273796
Middle East & North Africa (IDA & IBRD countries),4179.401246,4653.186582,5037.387603,4642.570598,4486.744823,3972.904452,3947.859117
Tonga,3553.220614,4084.624132,4597.742305,4428.566481,4393.940811,4320.63799,3966.15652
South Asia (IDA & IBRD),1257.522311,1367.339074,1364.441602,1381.881309,1494.461188,1541.835816,1648.658764
Sub-Saharan Africa (IDA & IBRD countries),1578.201816,1739.14878,1787.828781,1853.271496,1889.348995,1671.400239,1522.343206
Trinidad and Tobago,16683.35538,19034.1492,19157.41704,20143.66445,20270.85937,18289.70434,16176.94737
Tunisia,4141.976353,4264.674946,4152.678587,4222.703245,4305.474165,3861.688531,3698.058504
Turkey,10672.38925,11335.51051,11707.25971,12519.39143,12095.85457,10948.72461,10820.63384
Tuvalu,3022.28882,3640.861433,3507.936911,3454.684953,3398.818942,3197.795645,3255.894866
Tanzania,743.4037847,781.4370143,867.8676806,970.4169384,1030.092917,947.9334465,966.4746224
Uganda,622.4988457,602.6846514,668.832462,689.1548142,739.373927,709.0210386,608.7057351
Ukraine,2965.142365,3569.757027,3855.42128,4029.715504,3104.658296,2124.662666,2187.731997
Upper middle income,6344.449839,7533.484106,8009.921904,8449.204175,8652.264448,8035.717516,7927.086792
Uruguay,11992.01663,14236.68119,15171.58466,16973.67421,16831.97294,15613.76427,15387.14403
United States,48466.82338,49883.11398,51603.49726,53106.90977,55032.958,56803.47243,57904.20196
Uzbekistan,1634.312095,1926.292997,2137.025122,2281.410973,2492.336643,2615.025134,2567.799207
St. Vincent and the Grenadines,6292.789829,6242.193281,6390.314389,6639.607146,6684.807367,6920.878074,7075.06582
"Venezuela, RB",13825.35809,10955.34991,12985.50533,12456.71245,16054.49051,,
British Virgin Islands,,,,,,,
Virgin Islands (U.S.),40043.19017,39144.16577,37849.72872,34819.14775,33573.09703,34797.14047,35931.54125
Vietnam,1317.890706,1525.115988,1735.141276,1886.671896,2030.261955,2085.101484,2192.214539
Vanuatu,2966.857116,3264.537017,3133.090209,3124.233078,3088.258303,2801.939848,2889.853036
World,9540.910251,10478.73742,10594.77888,10770.70578,10933.91392,10223.95965,10256.24063
Samoa,3566.362435,3933.459314,4022.19907,4037.509208,3937.758796,4073.665929,4109.165137
Kosovo,3283.483451,3736.700833,3600.575965,3876.970676,4054.71697,3574.24112,3697.129595
"Yemen, Rep.",1334.784845,1374.621313,1446.53628,1607.152275,1674.002766,1608.744312,1139.870568
South Africa,7328.615629,8007.412846,7501.469984,6832.456891,6433.187277,5734.633629,5272.918425
Zambia,1489.45907,1672.94983,1763.094184,1878.903489,1763.056239,1337.796315,1280.578447
Zimbabwe,948.3318545,1093.654002,1304.969802,1430.000818,1434.89934,1445.071062,1464.583529
